ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
6082,1.0,1,1123,41.9839,-72.5549,Enfield,CT
18704,2.2,1,894,41.2774,-75.8973,Kingston,PA
21601,2.2,1,658,38.7939,-76.0774,Easton,MD
23116,3.1,1,492,37.6745,-77.336,Mechanicsville,VA
27101,2.1,1,219,36.1111,-80.199,Winston Salem,NC
27355,3.4,1,206,35.7904,-79.5727,Staley,NC
28732,3.4,1,214,35.4444,-82.4696,Fletcher,NC
29016,2.4,17,27,34.2008,-80.9951,Blythewood,SC
29020,2.8,37,17,34.307,-80.5942,Camden,SC
29032,3.4,1,28,34.3527,-80.4771,Cassatt,SC
29033,3.1,1,41,33.9571,-81.059,Cayce,SC
29044,2.5,1,28,33.9218,-80.6883,Eastover,SC
29045,2.9,97,10,34.1874,-80.8158,Elgin,SC
29061,2.0,1,36,33.8766,-80.8506,Hopkins,SC
29063,2.0,3,46,34.1406,-81.2033,Irmo,SC
29073,2.0,1,58,33.8923,-81.2371,Lexington,SC
29078,3.1,59,2,34.1906,-80.7041,Lugoff,SC
29126,2.0,1,68,34.3205,-81.422,Pomaria,SC
29130,2.3,4,24,34.3266,-80.8905,Ridgeway,SC
29169,2.5,2,41,33.9971,-81.0979,West Columbia,SC
29170,3.1,1,48,33.9387,-81.1455,West Columbia,SC
29180,3.4,2,43,34.377,-81.1011,Winnsboro,SC
29201,2.0,2,37,33.9856,-81.0289,Columbia,SC
29203,2.0,3,32,34.1047,-81.0455,Columbia,SC
29204,2.0,1,32,34.0292,-80.9996,Columbia,SC
29205,2.3,4,34,33.9899,-80.997,Columbia,SC
29206,2.0,5,28,34.0238,-80.9541,Columbia,SC
29207,2.0,1,28,34.0108,-80.9395,Columbia,SC
29209,2.1,6,34,33.9459,-80.944,Columbia,SC
29210,2.0,1,40,34.043,-81.1098,Columbia,SC
29212,2.7,1,44,34.0806,-81.1687,Columbia,SC
29223,2.4,17,18,34.056,-80.844,Columbia,SC
29229,2.8,30,18,34.1419,-80.8922,Columbia,SC
29306,3.1,1,137,34.896,-81.9215,Spartanburg,SC
29445,3.4,1,146,32.9968,-79.9879,Goose Creek,SC
29483,1.0,1,131,33.0696,-80.1945,Summerville,SC
29572,3.1,1,181,33.7674,-78.7945,Myrtle Beach,SC
29644,2.2,1,147,34.6694,-82.1937,Fountain Inn,SC
29650,2.5,1,163,34.8976,-82.2583,Greer,SC
29673,3.3,1,172,34.7189,-82.4575,Piedmont,SC
29687,2.2,1,173,34.9796,-82.3267,Taylors,SC
29706,2.2,1,77,34.7175,-81.2297,Chester,SC
29710,3.4,1,113,35.1024,-81.218,Clover,SC
29732,2.7,1,94,34.97,-81.0801,Rock Hill,SC
30683,2.0,1,237,33.9431,-83.2562,Winterville,GA
32767,2.2,1,577,29.014,-81.4953,Paisley,FL
36801,2.0,1,467,32.6912,-85.4003,Opelika,AL
37166,2.7,1,503,35.9234,-85.7902,Smithville,TN
38079,2.7,1,833,36.4114,-89.4445,Tiptonville,TN
