ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29020,2.0,2,20,34.307,-80.5942,Camden,SC
29044,1.0,1,26,33.9218,-80.6883,Eastover,SC
29045,2.2,12,9,34.1874,-80.8158,Elgin,SC
29078,2.0,13,5,34.1906,-80.7041,Lugoff,SC
29160,2.0,1,58,33.7322,-81.0878,Swansea,SC
29209,2.2,1,31,33.9459,-80.944,Columbia,SC
29210,2.2,1,38,34.043,-81.1098,Columbia,SC
29223,2.0,1,16,34.056,-80.844,Columbia,SC
29229,2.2,2,16,34.1419,-80.8922,Columbia,SC
29406,3.1,1,150,32.9312,-80.0318,Charleston,SC
29644,3.1,1,146,34.6694,-82.1937,Fountain Inn,SC
