ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
Polo::Barahona::Dominican Republic,1.0,1,2017,18.08,-71.28,Polo,No State
01570,2.0,1,1170,42.0522,-71.8488,Webster,MA
06776,2.7,1,1044,41.5995,-73.4157,New Milford,CT
19808,3.1,1,763,39.7379,-75.6654,Wilmington,DE
24060,2.2,1,342,37.2559,-80.4198,Blacksburg,VA
28173,2.0,1,82,34.9169,-80.7297,Waxhaw,NC
29016,2.2,11,25,34.2008,-80.9951,Blythewood,SC
29020,2.9,14,18,34.307,-80.5942,Camden,SC
29045,3.2,73,9,34.1874,-80.8158,Elgin,SC
29054,2.2,1,66,33.9285,-81.3778,Gilbert,SC
29061,2.0,1,35,33.8766,-80.8506,Hopkins,SC
29067,2.0,1,44,34.5494,-80.5329,Kershaw,SC
29072,2.0,1,54,33.9905,-81.266,Lexington,SC
29078,3.1,49,2,34.1906,-80.7041,Lugoff,SC
29130,2.2,1,23,34.3266,-80.8905,Ridgeway,SC
29169,3.8,1,40,33.9971,-81.0979,West Columbia,SC
29203,2.0,1,31,34.1047,-81.0455,Columbia,SC
29204,3.3,2,30,34.0292,-80.9996,Columbia,SC
29205,2.0,3,33,33.9899,-80.997,Columbia,SC
29206,3.3,7,27,34.0238,-80.9541,Columbia,SC
29209,2.7,4,33,33.9459,-80.944,Columbia,SC
29223,2.4,12,17,34.056,-80.844,Columbia,SC
29229,2.5,33,16,34.1419,-80.8922,Columbia,SC
29306,2.2,1,136,34.896,-81.9215,Spartanburg,SC
29564,3.4,1,115,33.4457,-79.8295,Lane,SC
29631,2.7,1,201,34.6807,-82.8161,Clemson,SC
42544,2.9,1,488,37.0546,-84.7888,Nancy,KY
