ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
Ville-Marie::Québec::Canada,2.0,1,1466,47.33,-79.43,Ville-Marie,No State
Havanna::Ciudad de la Habana::Cuba,2.7,1,1233,23.13,-82.39,Havanna,No State
01020,3.1,1,1141,42.1759,-72.5654,Chicopee,MA
02907,2.2,1,1177,41.797,-71.4247,Providence,RI
03781,2.1,1,1274,43.5473,-72.2804,Plainfield,NH
05401,2.2,1,1316,44.474,-73.2079,Burlington,VT
06450,2.5,1,1077,41.5333,-72.7736,Meriden,CT
06457,3.1,1,1085,41.5472,-72.6544,Middletown,CT
06518,3.1,1,1060,41.4273,-72.9136,Hamden,CT
06605,2.6,1,1021,41.1638,-73.2179,Bridgeport,CT
06903,2.7,1,999,41.1358,-73.5734,Stamford,CT
07083,3.1,1,923,40.6945,-74.269,Union,NJ
17019,2.9,1,736,40.0917,-77.0249,Dillsburg,PA
17857,3.1,1,828,40.9285,-76.7687,Northumberland,PA
18334,3.3,1,897,41.0687,-75.4469,Long Pond,PA
18704,2.0,1,897,41.2774,-75.8973,Kingston,PA
19966,2.7,1,692,38.5841,-75.2841,Millsboro,DE
20004,3.1,1,621,38.8917,-77.0231,Washington,DC
21703,3.8,1,647,39.3675,-77.4682,Frederick,MD
21853,3.3,1,636,38.2015,-75.7105,Princess Anne,MD
22580,3.3,1,528,38.1033,-77.4464,Woodford,VA
27292,2.2,1,181,35.7361,-80.2079,Lexington,NC
27893,2.0,1,309,35.6914,-77.9068,Wilson,NC
28012,2.2,1,120,35.2102,-81.0411,Belmont,NC
28025,4.1,1,136,35.3788,-80.5253,Concord,NC
28037,2.2,1,151,35.507,-81.0202,Denver,NC
28079,3.8,1,106,35.1097,-80.6042,Indian Trail,NC
28105,2.2,1,106,35.1158,-80.7153,Matthews,NC
28129,2.2,1,124,35.2323,-80.3302,Oakboro,NC
28135,2.2,1,105,34.9994,-80.1856,Polkton,NC
28160,2.2,1,172,35.3614,-81.9231,Spindale,NC
28163,2.2,1,119,35.2067,-80.429,Stanfield,NC
28173,2.0,2,84,34.9169,-80.7297,Waxhaw,NC
28216,1.0,1,128,35.3104,-80.8877,Charlotte,NC
28277,2.7,1,99,35.0523,-80.8177,Charlotte,NC
28677,2.0,1,176,35.7377,-80.9217,Statesville,NC
28782,1.0,1,179,35.2252,-82.2004,Tryon,NC
29006,2.0,6,80,33.9058,-81.5513,Batesburg,SC
29009,3.4,3,44,34.4368,-80.3788,Bethune,SC
29010,3.2,6,43,34.2145,-80.2698,Bishopville,SC
29014,2.9,1,59,34.5856,-81.1192,Blackstock,SC
29016,3.6,175,25,34.2008,-80.9951,Blythewood,SC
29020,3.7,178,21,34.307,-80.5942,Camden,SC
29032,3.8,23,32,34.3527,-80.4771,Cassatt,SC
29033,3.2,34,37,33.9571,-81.059,Cayce,SC
29036,2.6,30,55,34.1465,-81.3335,Chapin,SC
29038,3.8,1,90,33.3739,-80.9766,Cope,SC
29040,2.6,13,29,34.0348,-80.4496,Dalzell,SC
29044,3.5,15,26,33.9218,-80.6883,Eastover,SC
29045,4.1,394,9,34.1874,-80.8158,Elgin,SC
29052,3.4,1,35,33.8425,-80.7396,Gadsden,SC
29053,3.2,24,51,33.8214,-81.1105,Gaston,SC
29054,2.9,17,65,33.9285,-81.3778,Gilbert,SC
29055,2.2,1,46,34.5466,-80.9286,Great Falls,SC
29061,3.3,44,33,33.8766,-80.8506,Hopkins,SC
29063,3.1,89,43,34.1406,-81.2033,Irmo,SC
29067,2.9,8,47,34.5494,-80.5329,Kershaw,SC
29070,3.1,14,72,33.8862,-81.44,Leesville,SC
29072,3.2,231,52,33.9905,-81.266,Lexington,SC
29073,3.3,237,55,33.8923,-81.2371,Lexington,SC
29075,2.7,2,59,34.2011,-81.3763,Little Mountain,SC
29078,4.0,226,5,34.1906,-80.7041,Lugoff,SC
29101,2.7,1,57,34.49,-80.247,MC Bee,SC
29102,2.7,1,76,33.6404,-80.1925,Manning,SC
29108,2.7,4,83,34.2965,-81.6254,Newberry,SC
29112,3.8,1,68,33.6244,-81.092,North,SC
29123,3.3,7,65,33.7656,-81.2602,Pelion,SC
29127,3.7,5,72,34.1779,-81.5147,Prosperity,SC
29128,4.0,7,19,34.0853,-80.5381,Rembert,SC
29129,2.2,1,93,33.8249,-81.6626,Ridge Spring,SC
29130,3.3,43,24,34.3266,-80.8905,Ridgeway,SC
29135,2.9,9,51,33.7089,-80.8372,Saint Matthews,SC
29138,2.7,3,99,34.0425,-81.7945,Saluda,SC
29150,2.0,7,47,33.8727,-80.3538,Sumter,SC
29152,2.7,4,31,33.9753,-80.4672,Shaw A F B,SC
29153,2.0,3,44,33.9672,-80.3114,Sumter,SC
29154,2.9,7,41,33.8761,-80.4342,Sumter,SC
29160,3.2,5,57,33.7322,-81.0878,Swansea,SC
29161,3.1,1,73,34.1012,-79.9371,Timmonsville,SC
29164,2.0,2,84,33.6578,-81.4236,Wagener,SC
29168,3.4,1,37,33.8599,-80.5523,Wedgefield,SC
29169,3.2,86,38,33.9971,-81.0979,West Columbia,SC
29170,3.2,115,45,33.9387,-81.1455,West Columbia,SC
29172,3.1,25,42,33.9077,-81.0718,West Columbia,SC
29175,3.1,1,32,34.4335,-80.6015,Westville,SC
29178,3.2,8,84,34.4681,-81.5669,Whitmire,SC
29180,3.0,15,41,34.377,-81.1011,Winnsboro,SC
29201,3.2,46,33,33.9856,-81.0289,Columbia,SC
29203,3.5,57,29,34.1047,-81.0455,Columbia,SC
29204,3.4,78,28,34.0292,-80.9996,Columbia,SC
29205,3.2,133,31,33.9899,-80.997,Columbia,SC
29206,3.3,131,25,34.0238,-80.9541,Columbia,SC
29207,3.4,1,25,34.0108,-80.9395,Columbia,SC
29209,3.3,107,30,33.9459,-80.944,Columbia,SC
29210,3.3,60,37,34.043,-81.1098,Columbia,SC
29212,3.1,80,41,34.0806,-81.1687,Columbia,SC
29223,3.5,184,15,34.056,-80.844,Columbia,SC
29229,3.8,254,15,34.1419,-80.8922,Columbia,SC
29301,1.0,1,145,34.9356,-82.0114,Spartanburg,SC
29306,4.3,1,136,34.896,-81.9215,Spartanburg,SC
29307,3.8,1,136,34.9833,-81.8329,Spartanburg,SC
29325,2.2,1,107,34.4874,-81.8272,Clinton,SC
29341,2.7,1,139,35.1182,-81.711,Gaffney,SC
29349,1.0,1,159,35.0711,-82.0687,Inman,SC
29353,2.0,1,112,34.83,-81.6549,Jonesville,SC
29356,3.6,2,178,35.1437,-82.2634,Landrum,SC
29365,1.0,1,160,34.98,-82.1675,Lyman,SC
29369,2.5,2,142,34.865,-82.0226,Moore,SC
29379,2.7,2,99,34.6758,-81.6161,Union,SC
29384,2.7,1,126,34.3448,-82.0829,Waterloo,SC
29388,2.2,2,137,34.7622,-82.0421,Woodruff,SC
29401,3.4,1,169,32.7788,-79.938,Charleston,SC
29405,1.0,1,161,32.851,-79.9776,North Charleston,SC
29407,2.2,1,165,32.7996,-79.9981,Charleston,SC
29412,1.0,1,176,32.7085,-79.951,Charleston,SC
29414,1.0,1,158,32.8251,-80.1235,Charleston,SC
29418,2.0,1,155,32.8741,-80.0589,North Charleston,SC
29432,2.0,1,100,33.2541,-80.7888,Branchville,SC
29435,2.0,1,134,32.966,-80.4699,Cottageville,SC
29461,1.0,1,130,33.1562,-80.0053,Moncks Corner,SC
29464,2.0,3,169,32.8208,-79.8567,Mount Pleasant,SC
29466,2.2,1,166,32.876,-79.7935,Mount Pleasant,SC
29483,1.0,4,130,33.0696,-80.1945,Summerville,SC
29485,2.0,2,143,32.9497,-80.1969,Summerville,SC
29501,2.0,4,83,34.2081,-79.8242,Florence,SC
29527,1.0,1,152,33.7843,-79.1483,Conway,SC
29550,2.4,8,65,34.3983,-80.077,Hartsville,SC
29555,1.0,1,121,33.8428,-79.4694,Johnsonville,SC
