ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
Havanna::Ciudad de la Habana::Cuba,2.2,1,1233,23.13,-82.39,Havanna,No State
01301,2.2,1,1177,42.6252,-72.6027,Greenfield,MA
01730,2.7,1,1240,42.4994,-71.2785,Bedford,MA
05446,2.0,1,1323,44.5484,-73.1859,Colchester,VT
05641,2.2,1,1322,44.1851,-72.4503,Barre,VT
06374,2.7,1,1138,41.6805,-71.9144,Plainfield,CT
06405,2.7,1,1055,41.2853,-72.7987,Branford,CT
06606,2.1,1,1025,41.2117,-73.2082,Bridgeport,CT
06708,2.5,1,1061,41.5499,-73.0665,Waterbury,CT
20906,1.0,1,637,39.0878,-77.0564,Silver Spring,MD
24450,3.1,1,416,37.7849,-79.5247,Lexington,VA
27510,2.7,1,245,35.9127,-79.082,Carrboro,NC
27909,4.1,1,468,36.2968,-76.2859,Elizabeth City,NC
28027,2.7,1,138,35.4097,-80.6754,Concord,NC
28110,2.2,1,101,35.0674,-80.5258,Monroe,NC
28112,2.2,1,82,34.8932,-80.5389,Monroe,NC
28173,2.0,1,83,34.9169,-80.7297,Waxhaw,NC
28174,3.5,2,92,34.967,-80.4367,Wingate,NC
28202,3.8,1,118,35.2278,-80.8444,Charlotte,NC
28212,2.7,1,113,35.1889,-80.7453,Charlotte,NC
28277,3.3,2,98,35.0523,-80.8177,Charlotte,NC
28379,2.0,1,120,34.9288,-79.7949,Rockingham,NC
28756,1.0,1,185,35.3359,-82.1695,Mill Spring,NC
28803,2.0,1,223,35.5293,-82.5193,Asheville,NC
29003,2.0,1,105,33.2426,-80.9813,Bamberg,SC
29006,2.7,1,81,33.9058,-81.5513,Batesburg,SC
29009,2.2,4,44,34.4368,-80.3788,Bethune,SC
29010,3.6,6,42,34.2145,-80.2698,Bishopville,SC
29015,3.5,2,64,34.4403,-81.3384,Blair,SC
29016,3.8,48,25,34.2008,-80.9951,Blythewood,SC
29020,3.7,39,20,34.307,-80.5942,Camden,SC
29032,4.2,7,31,34.3527,-80.4771,Cassatt,SC
29033,3.5,17,38,33.9571,-81.059,Cayce,SC
29036,2.9,12,56,34.1465,-81.3335,Chapin,SC
29040,3.1,6,29,34.0348,-80.4496,Dalzell,SC
29044,3.4,4,27,33.9218,-80.6883,Eastover,SC
29045,4.3,121,8,34.1874,-80.8158,Elgin,SC
29052,3.4,1,35,33.8425,-80.7396,Gadsden,SC
29053,3.5,21,52,33.8214,-81.1105,Gaston,SC
29054,3.1,5,65,33.9285,-81.3778,Gilbert,SC
29058,3.8,1,42,34.5469,-80.7476,Heath Springs,SC
29061,3.8,10,34,33.8766,-80.8506,Hopkins,SC
29063,2.9,29,44,34.1406,-81.2033,Irmo,SC
29065,3.1,1,53,34.276,-81.287,Jenkinsville,SC
29067,2.7,6,46,34.5494,-80.5329,Kershaw,SC
29070,2.8,4,72,33.8862,-81.44,Leesville,SC
29072,3.0,80,53,33.9905,-81.266,Lexington,SC
29073,3.4,60,56,33.8923,-81.2371,Lexington,SC
29075,2.0,1,60,34.2011,-81.3763,Little Mountain,SC
29078,4.5,59,4,34.1906,-80.7041,Lugoff,SC
29113,3.1,1,89,33.4325,-81.1303,Norway,SC
29115,3.4,1,77,33.4773,-80.8474,Orangeburg,SC
29123,3.3,4,66,33.7656,-81.2602,Pelion,SC
29127,2.2,1,72,34.1779,-81.5147,Prosperity,SC
29128,3.9,7,19,34.0853,-80.5381,Rembert,SC
29129,2.0,2,94,33.8249,-81.6626,Ridge Spring,SC
29130,3.9,6,23,34.3266,-80.8905,Ridgeway,SC
29135,3.1,10,51,33.7089,-80.8372,Saint Matthews,SC
29150,3.1,5,47,33.8727,-80.3538,Sumter,SC
29152,2.5,2,32,33.9753,-80.4672,Shaw A F B,SC
29153,2.9,4,44,33.9672,-80.3114,Sumter,SC
29154,2.6,5,42,33.8761,-80.4342,Sumter,SC
29160,3.3,10,58,33.7322,-81.0878,Swansea,SC
29164,2.9,2,85,33.6578,-81.4236,Wagener,SC
29169,3.2,38,39,33.9971,-81.0979,West Columbia,SC
29170,3.3,31,46,33.9387,-81.1455,West Columbia,SC
29172,3.9,8,42,33.9077,-81.0718,West Columbia,SC
29175,2.7,1,32,34.4335,-80.6015,Westville,SC
29180,3.4,2,41,34.377,-81.1011,Winnsboro,SC
29201,3.3,26,34,33.9856,-81.0289,Columbia,SC
29203,3.3,20,30,34.1047,-81.0455,Columbia,SC
29204,3.4,25,29,34.0292,-80.9996,Columbia,SC
29205,3.5,38,31,33.9899,-80.997,Columbia,SC
29206,3.1,40,26,34.0238,-80.9541,Columbia,SC
29207,3.8,1,26,34.0108,-80.9395,Columbia,SC
29209,3.5,37,31,33.9459,-80.944,Columbia,SC
29210,3.1,35,37,34.043,-81.1098,Columbia,SC
29212,3.2,31,41,34.0806,-81.1687,Columbia,SC
29223,3.5,63,16,34.056,-80.844,Columbia,SC
29229,3.9,78,15,34.1419,-80.8922,Columbia,SC
29316,2.7,1,150,35.0411,-81.9759,Boiling Springs,SC
29340,2.2,1,120,34.9831,-81.594,Gaffney,SC
29349,2.0,1,158,35.0711,-82.0687,Inman,SC
29356,2.0,2,177,35.1437,-82.2634,Landrum,SC
29388,2.0,1,137,34.7622,-82.0421,Woodruff,SC
29445,1.0,1,146,32.9968,-79.9879,Goose Creek,SC
29464,1.0,1,169,32.8208,-79.8567,Mount Pleasant,SC
29526,2.7,1,165,33.8744,-78.9728,Conway,SC
29550,3.1,1,65,34.3983,-80.077,Hartsville,SC
29556,2.2,1,102,33.6955,-79.772,Kingstree,SC
29568,1.0,1,183,33.8874,-78.7673,Longs,SC
29571,2.7,1,120,34.1411,-79.4207,Marion,SC
29575,2.0,1,172,33.6289,-78.9729,Myrtle Beach,SC
29601,2.2,1,171,34.8476,-82.4025,Greenville,SC
29607,2.3,4,163,34.8116,-82.3323,Greenville,SC
29609,2.8,3,173,34.9124,-82.3892,Greenville,SC
29638,2.0,1,149,34.3659,-82.3364,Donalds,SC
29640,2.0,1,187,34.8879,-82.5765,Easley,SC
29642,2.7,1,181,34.7769,-82.5649,Easley,SC
29662,3.4,1,160,34.7783,-82.3053,Mauldin,SC
29671,2.7,1,201,34.9379,-82.7194,Pickens,SC
29672,3.1,1,213,34.7491,-82.9444,Seneca,SC
29680,2.0,1,155,34.6884,-82.2909,Simpsonville,SC
29681,2.0,1,153,34.7692,-82.2241,Simpsonville,SC
29707,2.1,2,91,34.9808,-80.8571,Fort Mill,SC
29712,2.0,1,73,34.7952,-80.982,Edgemoor,SC
29715,2.7,2,95,35.0103,-80.9279,Fort Mill,SC
29718,2.9,2,63,34.638,-80.3469,Jefferson,SC
29720,2.9,6,64,34.745,-80.737,Lancaster,SC
29728,3.4,1,72,34.7677,-80.4133,Pageland,SC
29741,2.0,1,79,34.7323,-80.2012,Ruby,SC
29801,2.8,7,109,33.5847,-81.6895,Aiken,SC
29803,2.7,17,119,33.4567,-81.7028,Aiken,SC
29805,2.9,2,100,33.6555,-81.6216,Aiken,SC
29809,2.7,1,121,33.4171,-81.6888,New Ellenton,SC
29829,3.2,6,122,33.581,-81.8557,Graniteville,SC
29831,2.0,2,139,33.31,-81.8249,Jackson,SC
29832,2.0,1,107,33.8011,-81.8017,Johnston,SC
29841,2.2,1,132,33.5261,-81.939,North Augusta,SC
29842,2.2,1,132,33.4433,-81.8677,Beech Island,SC
29847,2.6,3,116,33.6979,-81.8599,Trenton,SC
29851,3.8,1,124,33.5091,-81.8177,Warrenville,SC
29853,2.8,3,105,33.4081,-81.421,Williston,SC
29856,2.7,1,105,33.4774,-81.519,Windsor,SC
29860,2.2,1,130,33.6111,-81.9759,North Augusta,SC
29910,2.0,1,215,32.2234,-80.8909,Bluffton,SC
30096,4.1,1,316,33.9772,-84.1489,Duluth,GA
30297,2.7,1,342,33.6145,-84.3661,Forest Park,GA
30525,2.7,1,257,34.9058,-83.381,Clayton,GA
30557,4.1,1,229,34.4847,-83.1886,Martin,GA
30809,2.7,1,148,33.5568,-82.162,Evans,GA
