ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
21234,2.2,1,786,39.392,-76.5351,Parkville,MD
29033,2.2,1,141,33.9571,-81.059,Cayce,SC
29044,3.4,1,120,33.9218,-80.6883,Eastover,SC
29063,2.2,1,165,34.1406,-81.2033,Irmo,SC
29072,3.4,1,156,33.9905,-81.266,Lexington,SC
29201,2.0,1,142,33.9856,-81.0289,Columbia,SC
29223,2.2,1,139,34.056,-80.844,Columbia,SC
29406,2.6,7,12,32.9312,-80.0318,Charleston,SC
29418,2.0,6,12,32.8741,-80.0589,North Charleston,SC
29420,3.0,29,7,32.9342,-80.0996,North Charleston,SC
29445,2.0,3,17,32.9968,-79.9879,Goose Creek,SC
29456,2.8,37,8,32.9858,-80.114,Ladson,SC
29472,2.7,1,21,33.0521,-80.3157,Ridgeville,SC
29483,2.2,11,16,33.0696,-80.1945,Summerville,SC
29485,2.7,92,8,32.9497,-80.1969,Summerville,SC
29715,1.0,1,240,35.0103,-80.9279,Fort Mill,SC
