ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
27360,2.0,1,197,35.8585,-80.0983,Thomasville,NC
29032,3.4,1,31,34.3527,-80.4771,Cassatt,SC
29033,3.1,1,38,33.9571,-81.059,Cayce,SC
29063,3.1,1,44,34.1406,-81.2033,Irmo,SC
29072,2.8,2,53,33.9905,-81.266,Lexington,SC
29073,3.1,1,56,33.8923,-81.2371,Lexington,SC
29169,3.1,1,39,33.9971,-81.0979,West Columbia,SC
29172,2.2,1,42,33.9077,-81.0718,West Columbia,SC
29212,2.2,2,42,34.0806,-81.1687,Columbia,SC
29229,3.8,2,16,34.1419,-80.8922,Columbia,SC
29550,3.4,1,64,34.3983,-80.077,Hartsville,SC
29720,3.1,1,65,34.745,-80.737,Lancaster,SC
