ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28210,3.4,1,108,35.1291,-80.8554,Charlotte,NC
29020,2.4,3,20,34.307,-80.5942,Camden,SC
29045,2.0,5,9,34.1874,-80.8158,Elgin,SC
29061,2.0,1,33,33.8766,-80.8506,Hopkins,SC
29072,2.7,2,53,33.9905,-81.266,Lexington,SC
29073,3.8,1,55,33.8923,-81.2371,Lexington,SC
29078,2.0,5,4,34.1906,-80.7041,Lugoff,SC
29170,3.2,2,45,33.9387,-81.1455,West Columbia,SC
29172,3.1,1,42,33.9077,-81.0718,West Columbia,SC
29201,2.9,2,33,33.9856,-81.0289,Columbia,SC
29205,3.1,1,31,33.9899,-80.997,Columbia,SC
29223,3.8,1,16,34.056,-80.844,Columbia,SC
29229,2.4,2,15,34.1419,-80.8922,Columbia,SC
29410,2.7,1,154,32.9092,-79.9968,North Charleston,SC
29728,2.0,1,73,34.7677,-80.4133,Pageland,SC
30901,3.1,1,139,33.4322,-81.955,Augusta,GA
