ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29020,2.4,4,20,34.307,-80.5942,Camden,SC
29045,3.2,13,9,34.1874,-80.8158,Elgin,SC
29072,1.0,1,53,33.9905,-81.266,Lexington,SC
29073,2.0,1,55,33.8923,-81.2371,Lexington,SC
29078,3.0,10,5,34.1906,-80.7041,Lugoff,SC
29206,2.0,1,26,34.0238,-80.9541,Columbia,SC
29209,1.0,1,31,33.9459,-80.944,Columbia,SC
29212,1.0,1,42,34.0806,-81.1687,Columbia,SC
29229,2.0,4,16,34.1419,-80.8922,Columbia,SC
29690,2.0,1,185,35.0577,-82.4226,Travelers Rest,SC
