ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
5446,2.0,1,1323,44.5484,-73.1859,Colchester,VT
6010,2.7,1,1078,41.6811,-72.9407,Bristol,CT
6488,2.2,1,1045,41.4749,-73.2312,Southbury,CT
10977,2.7,1,970,41.1173,-74.0486,Spring Valley,NY
12546,2.7,1,1070,41.9587,-73.5355,Millerton,NY
22192,2.2,1,586,38.6827,-77.3192,Woodbridge,VA
27893,3.4,1,307,35.6914,-77.9068,Wilson,NC
29006,2.0,2,82,33.9058,-81.5513,Batesburg,SC
29016,2.6,27,25,34.2008,-80.9951,Blythewood,SC
29020,2.9,39,19,34.307,-80.5942,Camden,SC
29033,2.0,7,38,33.9571,-81.059,Cayce,SC
29036,2.0,1,56,34.1465,-81.3335,Chapin,SC
29040,2.0,1,28,34.0348,-80.4496,Dalzell,SC
29044,2.2,2,27,33.9218,-80.6883,Eastover,SC
29045,3.5,117,9,34.1874,-80.8158,Elgin,SC
29053,2.7,1,52,33.8214,-81.1105,Gaston,SC
29054,2.2,1,66,33.9285,-81.3778,Gilbert,SC
29061,2.7,4,34,33.8766,-80.8506,Hopkins,SC
29063,2.6,3,44,34.1406,-81.2033,Irmo,SC
29067,3.4,1,46,34.5494,-80.5329,Kershaw,SC
29070,2.0,1,73,33.8862,-81.44,Leesville,SC
29072,2.0,7,54,33.9905,-81.266,Lexington,SC
29073,2.3,10,56,33.8923,-81.2371,Lexington,SC
29078,3.1,51,4,34.1906,-80.7041,Lugoff,SC
29128,3.1,1,19,34.0853,-80.5381,Rembert,SC
29130,2.4,5,24,34.3266,-80.8905,Ridgeway,SC
29169,2.6,15,39,33.9971,-81.0979,West Columbia,SC
29170,2.3,5,46,33.9387,-81.1455,West Columbia,SC
29172,3.1,1,43,33.9077,-81.0718,West Columbia,SC
29201,2.2,6,34,33.9856,-81.0289,Columbia,SC
29203,3.0,3,30,34.1047,-81.0455,Columbia,SC
29204,2.0,21,29,34.0292,-80.9996,Columbia,SC
29205,2.5,34,32,33.9899,-80.997,Columbia,SC
29206,2.6,34,26,34.0238,-80.9541,Columbia,SC
29209,2.4,35,31,33.9459,-80.944,Columbia,SC
29210,2.5,2,38,34.043,-81.1098,Columbia,SC
29212,2.0,4,42,34.0806,-81.1687,Columbia,SC
29223,2.8,56,16,34.056,-80.844,Columbia,SC
29229,3.0,54,16,34.1419,-80.8922,Columbia,SC
29501,2.0,1,82,34.2081,-79.8242,Florence,SC
29568,4.3,1,182,33.8874,-78.7673,Longs,SC
29657,3.1,1,192,34.765,-82.6873,Liberty,SC
29707,2.7,1,91,34.9808,-80.8571,Fort Mill,SC
29732,2.0,1,95,34.97,-81.0801,Rock Hill,SC
29841,2.7,1,133,33.5261,-81.939,North Augusta,SC
29842,2.7,1,132,33.4433,-81.8677,Beech Island,SC
29910,2.0,1,215,32.2234,-80.8909,Bluffton,SC
30052,2.2,1,296,33.8154,-83.8953,Loganville,GA
37072,2.7,1,599,36.3576,-86.7436,Goodlettsville,TN
38305,2.7,1,755,35.6506,-88.7883,Jackson,TN
42544,2.2,1,488,37.0546,-84.7888,Nancy,KY
46140,2.0,1,770,39.8013,-85.7666,Greenfield,IN
65401,1.0,1,1078,37.8994,-91.7626,Rolla,MO
72032,2.7,1,1072,35.0716,-92.3561,Conway,AR
