ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
1247,2.0,1,1156,42.6976,-73.0913,North Adams,MA
1570,2.2,1,1169,42.0522,-71.8488,Webster,MA
6032,2.0,1,1087,41.7255,-72.8319,Farmington,CT
6412,2.7,1,1081,41.4057,-72.483,Chester,CT
19808,3.1,1,763,39.7379,-75.6654,Wilmington,DE
21215,2.0,1,676,39.3457,-76.6835,Baltimore,MD
28001,2.7,1,136,35.3372,-80.2043,Albemarle,NC
28127,2.2,1,149,35.451,-80.1786,New London,NC
28202,3.6,1,116,35.2278,-80.8444,Charlotte,NC
29010,2.7,1,42,34.2145,-80.2698,Bishopville,SC
29016,2.2,10,24,34.2008,-80.9951,Blythewood,SC
29020,2.8,47,18,34.307,-80.5942,Camden,SC
29032,2.2,3,29,34.3527,-80.4771,Cassatt,SC
29033,2.2,1,39,33.9571,-81.059,Cayce,SC
29045,3.2,125,8,34.1874,-80.8158,Elgin,SC
29063,2.0,2,44,34.1406,-81.2033,Irmo,SC
29072,2.0,2,54,33.9905,-81.266,Lexington,SC
29073,2.0,3,57,33.8923,-81.2371,Lexington,SC
29078,3.5,130,2,34.1906,-80.7041,Lugoff,SC
29130,3.1,1,21,34.3266,-80.8905,Ridgeway,SC
29169,2.2,1,40,33.9971,-81.0979,West Columbia,SC
29203,2.7,1,30,34.1047,-81.0455,Columbia,SC
29204,2.0,3,30,34.0292,-80.9996,Columbia,SC
29205,2.7,4,33,33.9899,-80.997,Columbia,SC
29206,2.0,4,27,34.0238,-80.9541,Columbia,SC
29209,2.7,1,33,33.9459,-80.944,Columbia,SC
29212,3.1,1,42,34.0806,-81.1687,Columbia,SC
29223,2.0,8,17,34.056,-80.844,Columbia,SC
29229,2.5,28,16,34.1419,-80.8922,Columbia,SC
29379,2.0,1,98,34.6758,-81.6161,Union,SC
29405,3.6,1,163,32.851,-79.9776,North Charleston,SC
29564,4.6,1,116,33.4457,-79.8295,Lane,SC
29690,2.0,1,183,35.0577,-82.4226,Travelers Rest,SC
29692,2.0,1,139,34.412,-82.2197,Ware Shoals,SC
29702,2.2,1,123,35.118,-81.4701,Blacksburg,SC
30577,2.0,1,242,34.5563,-83.3295,Toccoa,GA
32767,3.4,1,577,29.014,-81.4953,Paisley,FL
36081,3.4,1,547,31.8935,-85.9205,Troy,AL
36420,2.7,1,636,31.3114,-86.6016,Andalusia,AL
37166,2.7,1,500,35.9234,-85.7902,Smithville,TN
39204,2.7,1,910,32.2812,-90.2313,Jackson,MS
47470,2.7,1,736,38.7935,-86.6379,Williams,IN
47977,2.7,1,925,40.7562,-87.1599,Remington,IN
71417,2.7,1,1155,31.518,-92.6587,Colfax,LA
