ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29010,2.0,1,42,34.2145,-80.2698,Bishopville,SC
29016,2.4,5,25,34.2008,-80.9951,Blythewood,SC
29020,2.0,4,19,34.307,-80.5942,Camden,SC
29033,2.0,1,38,33.9571,-81.059,Cayce,SC
29044,3.8,1,27,33.9218,-80.6883,Eastover,SC
29045,2.5,43,8,34.1874,-80.8158,Elgin,SC
29072,2.0,1,53,33.9905,-81.266,Lexington,SC
29078,2.4,16,3,34.1906,-80.7041,Lugoff,SC
29130,2.2,1,23,34.3266,-80.8905,Ridgeway,SC
29206,2.7,1,26,34.0238,-80.9541,Columbia,SC
29209,2.2,1,31,33.9459,-80.944,Columbia,SC
29223,2.0,3,16,34.056,-80.844,Columbia,SC
29229,2.5,14,15,34.1419,-80.8922,Columbia,SC
29410,3.4,1,155,32.9092,-79.9968,North Charleston,SC
29501,1.0,1,83,34.2081,-79.8242,Florence,SC
29720,1.0,1,63,34.745,-80.737,Lancaster,SC
