ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28210,2.2,1,106,35.1291,-80.8554,Charlotte,NC
29020,3.4,1,17,34.307,-80.5942,Camden,SC
29045,2.0,7,10,34.1874,-80.8158,Elgin,SC
29072,3.1,1,55,33.9905,-81.266,Lexington,SC
29073,2.7,1,58,33.8923,-81.2371,Lexington,SC
29078,2.3,4,2,34.1906,-80.7041,Lugoff,SC
29172,2.7,1,45,33.9077,-81.0718,West Columbia,SC
29223,2.7,3,18,34.056,-80.844,Columbia,SC
29229,3.6,2,17,34.1419,-80.8922,Columbia,SC
29532,2.2,1,79,34.2839,-79.8526,Darlington,SC
29576,1.0,1,167,33.5667,-79.0505,Murrells Inlet,SC
