ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
19952,2.2,1,695,38.9189,-75.6236,Harrington,DE
27320,3.1,1,258,36.3435,-79.6571,Reidsville,NC
29016,2.2,1,26,34.2008,-80.9951,Blythewood,SC
29045,2.1,23,10,34.1874,-80.8158,Elgin,SC
29078,2.1,18,2,34.1906,-80.7041,Lugoff,SC
29115,2.2,1,78,33.4773,-80.8474,Orangeburg,SC
29160,3.3,1,60,33.7322,-81.0878,Swansea,SC
29204,2.0,1,31,34.0292,-80.9996,Columbia,SC
29205,2.0,1,34,33.9899,-80.997,Columbia,SC
29212,2.0,1,44,34.0806,-81.1687,Columbia,SC
29223,2.0,1,18,34.056,-80.844,Columbia,SC
29229,2.0,1,17,34.1419,-80.8922,Columbia,SC
29412,1.0,1,177,32.7085,-79.951,Charleston,SC
