ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29020,2.3,7,20,34.307,-80.5942,Camden,SC
29045,2.6,24,10,34.1874,-80.8158,Elgin,SC
29061,2.0,1,33,33.8766,-80.8506,Hopkins,SC
29078,2.2,22,5,34.1906,-80.7041,Lugoff,SC
29169,2.2,1,38,33.9971,-81.0979,West Columbia,SC
29201,2.0,1,34,33.9856,-81.0289,Columbia,SC
29206,2.0,1,26,34.0238,-80.9541,Columbia,SC
29223,2.2,3,16,34.056,-80.844,Columbia,SC
29229,2.2,7,16,34.1419,-80.8922,Columbia,SC
29461,2.0,1,129,33.1562,-80.0053,Moncks Corner,SC
61951,1.0,1,925,39.5888,-88.5929,Sullivan,IL
