ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29020,2.0,2,27,34.307,-80.5942,Camden,SC
29045,2.0,1,15,34.1874,-80.8158,Elgin,SC
29206,2.0,1,23,34.0238,-80.9541,Columbia,SC
29209,2.7,1,26,33.9459,-80.944,Columbia,SC
29223,2.2,1,13,34.056,-80.844,Columbia,SC
