ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
23116,2.2,1,492,37.6745,-77.336,Mechanicsville,VA
28078,2.7,1,136,35.4036,-80.865,Huntersville,NC
28712,2.7,1,221,35.2117,-82.7641,Brevard,NC
29020,2.0,2,17,34.307,-80.5942,Camden,SC
29045,2.3,29,11,34.1874,-80.8158,Elgin,SC
29061,2.2,1,36,33.8766,-80.8506,Hopkins,SC
29073,2.7,1,59,33.8923,-81.2371,Lexington,SC
29078,2.3,32,3,34.1906,-80.7041,Lugoff,SC
29112,1.0,1,71,33.6244,-81.092,North,SC
29130,2.0,2,24,34.3266,-80.8905,Ridgeway,SC
29169,2.0,1,42,33.9971,-81.0979,West Columbia,SC
29180,2.7,1,43,34.377,-81.1011,Winnsboro,SC
29205,2.2,1,34,33.9899,-80.997,Columbia,SC
29212,1.0,1,44,34.0806,-81.1687,Columbia,SC
29223,2.0,2,19,34.056,-80.844,Columbia,SC
29229,2.0,3,18,34.1419,-80.8922,Columbia,SC
29520,1.0,1,89,34.6633,-79.9187,Cheraw,SC
29650,1.0,1,163,34.8976,-82.2583,Greer,SC
