ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
8102,2.7,1,802,39.9506,-75.1198,Camden,NJ
28273,2.2,1,105,35.1266,-80.945,Charlotte,NC
29020,2.8,10,10,34.307,-80.5942,Camden,SC
29033,1.0,1,50,33.9571,-81.059,Cayce,SC
29045,2.0,5,19,34.1874,-80.8158,Elgin,SC
29078,2.0,2,9,34.1906,-80.7041,Lugoff,SC
29223,2.2,1,28,34.056,-80.844,Columbia,SC
29520,2.2,1,80,34.6633,-79.9187,Cheraw,SC
37854,1.0,1,419,35.8769,-84.7328,Rockwood,TN
45693,1.0,1,572,38.8007,-83.5238,West Union,OH
63775,2.2,1,922,37.7147,-89.8854,Perryville,MO
