ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28138,1.0,1,152,35.5201,-80.4425,Rockwell,NC
28211,2.2,1,111,35.168,-80.7965,Charlotte,NC
29010,3.4,1,40,34.2145,-80.2698,Bishopville,SC
29016,2.0,1,27,34.2008,-80.9951,Blythewood,SC
29020,3.1,2,18,34.307,-80.5942,Camden,SC
29036,2.7,1,58,34.1465,-81.3335,Chapin,SC
29040,2.7,1,27,34.0348,-80.4496,Dalzell,SC
29044,3.4,1,27,33.9218,-80.6883,Eastover,SC
29045,2.4,4,10,34.1874,-80.8158,Elgin,SC
29053,2.2,1,53,33.8214,-81.1105,Gaston,SC
29070,2.2,1,74,33.8862,-81.44,Leesville,SC
29072,2.9,2,55,33.9905,-81.266,Lexington,SC
29073,2.2,1,57,33.8923,-81.2371,Lexington,SC
29078,2.7,4,3,34.1906,-80.7041,Lugoff,SC
29152,3.8,1,30,33.9753,-80.4672,Shaw A F B,SC
29169,3.8,1,40,33.9971,-81.0979,West Columbia,SC
29170,2.0,1,47,33.9387,-81.1455,West Columbia,SC
29206,2.0,1,27,34.0238,-80.9541,Columbia,SC
29210,3.4,1,39,34.043,-81.1098,Columbia,SC
29212,2.2,1,43,34.0806,-81.1687,Columbia,SC
29223,2.0,1,17,34.056,-80.844,Columbia,SC
29229,2.2,2,17,34.1419,-80.8922,Columbia,SC
29501,2.0,1,81,34.2081,-79.8242,Florence,SC
29615,2.7,1,165,34.8556,-82.2955,Greenville,SC
29801,2.7,1,111,33.5847,-81.6895,Aiken,SC
29803,3.1,1,121,33.4567,-81.7028,Aiken,SC
30019,2.2,1,293,33.9751,-83.8811,Dacula,GA
