ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
1609,2.2,1,1191,42.288,-71.8316,Worcester,MA
5641,2.2,1,1322,44.1851,-72.4503,Barre,VT
28104,2.0,1,100,35.0634,-80.6926,Matthews,NC
29016,2.4,4,25,34.2008,-80.9951,Blythewood,SC
29020,2.0,5,20,34.307,-80.5942,Camden,SC
29033,3.8,1,38,33.9571,-81.059,Cayce,SC
29040,2.0,2,29,34.0348,-80.4496,Dalzell,SC
29045,2.2,22,9,34.1874,-80.8158,Elgin,SC
29063,2.0,3,44,34.1406,-81.2033,Irmo,SC
29072,2.2,1,53,33.9905,-81.266,Lexington,SC
29078,2.0,18,5,34.1906,-80.7041,Lugoff,SC
29115,2.2,1,76,33.4773,-80.8474,Orangeburg,SC
29123,3.4,1,66,33.7656,-81.2602,Pelion,SC
29130,3.8,1,24,34.3266,-80.8905,Ridgeway,SC
29160,2.0,1,58,33.7322,-81.0878,Swansea,SC
29169,2.0,1,38,33.9971,-81.0979,West Columbia,SC
29170,2.2,1,45,33.9387,-81.1455,West Columbia,SC
29201,2.0,2,34,33.9856,-81.0289,Columbia,SC
29204,2.0,1,29,34.0292,-80.9996,Columbia,SC
29205,2.2,1,31,33.9899,-80.997,Columbia,SC
29209,2.7,3,31,33.9459,-80.944,Columbia,SC
29210,2.0,2,37,34.043,-81.1098,Columbia,SC
29212,3.1,1,41,34.0806,-81.1687,Columbia,SC
29223,2.3,5,16,34.056,-80.844,Columbia,SC
29229,2.7,7,15,34.1419,-80.8922,Columbia,SC
29458,3.4,1,165,33.1041,-79.4727,MC Clellanville,SC
29732,2.0,1,95,34.97,-81.0801,Rock Hill,SC
30909,3.4,1,147,33.4718,-82.0852,Augusta,GA
