ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
1570,2.0,1,1171,42.0522,-71.8488,Webster,MA
8078,2.2,1,806,39.8519,-75.0744,Runnemede,NJ
20619,2.0,1,592,38.2907,-76.5295,California,MD
21219,3.1,1,679,39.23,-76.4435,Sparrows Point,MD
25922,2.7,1,366,37.4611,-81.0957,Spanishburg,WV
28034,2.2,1,138,35.3542,-81.181,Dallas,NC
28146,2.2,1,163,35.6215,-80.3974,Salisbury,NC
28655,2.5,1,199,35.7549,-81.7409,Morganton,NC
29016,2.2,10,25,34.2008,-80.9951,Blythewood,SC
29020,2.4,14,19,34.307,-80.5942,Camden,SC
29032,2.0,1,30,34.3527,-80.4771,Cassatt,SC
29045,2.8,136,9,34.1874,-80.8158,Elgin,SC
29053,1.0,1,52,33.8214,-81.1105,Gaston,SC
29061,2.0,1,34,33.8766,-80.8506,Hopkins,SC
29063,2.0,1,44,34.1406,-81.2033,Irmo,SC
29067,2.7,1,45,34.5494,-80.5329,Kershaw,SC
29073,2.0,3,56,33.8923,-81.2371,Lexington,SC
29078,2.9,65,3,34.1906,-80.7041,Lugoff,SC
29130,2.2,1,23,34.3266,-80.8905,Ridgeway,SC
29169,2.0,3,39,33.9971,-81.0979,West Columbia,SC
29201,3.4,1,34,33.9856,-81.0289,Columbia,SC
29203,2.0,1,30,34.1047,-81.0455,Columbia,SC
29204,2.2,3,29,34.0292,-80.9996,Columbia,SC
29206,2.2,3,26,34.0238,-80.9541,Columbia,SC
29209,2.0,3,32,33.9459,-80.944,Columbia,SC
29212,2.7,1,42,34.0806,-81.1687,Columbia,SC
29223,2.5,20,16,34.056,-80.844,Columbia,SC
29229,2.3,34,16,34.1419,-80.8922,Columbia,SC
29325,2.2,1,107,34.4874,-81.8272,Clinton,SC
29466,4.3,1,167,32.876,-79.7935,Mount Pleasant,SC
29475,2.2,1,132,32.9772,-80.8209,Ruffin,SC
29526,1.0,1,164,33.8744,-78.9728,Conway,SC
29550,2.0,1,64,34.3983,-80.077,Hartsville,SC
29566,2.2,1,193,33.8837,-78.6564,Little River,SC
29639,3.1,1,157,34.3021,-82.4283,Due West,SC
29708,2.0,1,100,35.047,-80.9861,Fort Mill,SC
29709,2.0,1,84,34.7261,-80.0979,Chesterfield,SC
29710,2.7,1,113,35.1024,-81.218,Clover,SC
29732,2.0,2,94,34.97,-81.0801,Rock Hill,SC
29831,2.2,1,139,33.31,-81.8249,Jackson,SC
30045,2.2,1,299,33.9381,-83.9577,Lawrenceville,GA
35406,3.1,1,632,33.3387,-87.4718,Tuscaloosa,AL
37166,2.2,1,501,35.9234,-85.7902,Smithville,TN
38801,2.0,1,742,34.217,-88.7722,Tupelo,MS
40962,2.0,1,426,37.1078,-83.7504,Manchester,KY
42743,2.0,1,552,37.2327,-85.5329,Greensburg,KY
44004,2.7,1,852,41.8532,-80.7927,Ashtabula,OH
54457,2.2,1,1370,44.2355,-89.9145,Nekoosa,WI
