ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29033,2.0,2,2,33.9571,-81.059,Cayce,SC
29053,2.0,1,17,33.8214,-81.1105,Gaston,SC
29073,2.2,1,18,33.8923,-81.2371,Lexington,SC
29169,1.0,1,4,33.9971,-81.0979,West Columbia,SC
29204,2.0,1,8,34.0292,-80.9996,Columbia,SC
29205,2.5,2,6,33.9899,-80.997,Columbia,SC
29206,2.7,1,11,34.0238,-80.9541,Columbia,SC
29501,3.1,1,117,34.2081,-79.8242,Florence,SC
