ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28202,1.0,1,138,35.2278,-80.8444,Charlotte,NC
29316,1.0,1,33,35.0411,-81.9759,Boiling Springs,SC
29356,2.0,2,18,35.1437,-82.2634,Landrum,SC
29365,2.0,2,15,34.98,-82.1675,Lyman,SC
29605,1.0,1,23,34.779,-82.3823,Greenville,SC
29607,1.0,1,19,34.8116,-82.3323,Greenville,SC
29609,2.0,1,9,34.9124,-82.3892,Greenville,SC
29613,1.0,1,12,34.9247,-82.4414,Greenville,SC
29650,1.0,1,12,34.8976,-82.2583,Greer,SC
29651,2.2,1,19,34.8332,-82.2312,Greer,SC
29654,2.0,1,57,34.4674,-82.358,Honea Path,SC
29681,1.0,1,26,34.7692,-82.2241,Simpsonville,SC
29687,3.0,33,2,34.9796,-82.3267,Taylors,SC
