ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28146,2.1,1,165,35.6215,-80.3974,Salisbury,NC
28202,2.2,1,119,35.2278,-80.8444,Charlotte,NC
29020,3.3,3,20,34.307,-80.5942,Camden,SC
29045,2.0,6,8,34.1874,-80.8158,Elgin,SC
29053,2.0,1,51,33.8214,-81.1105,Gaston,SC
29061,3.4,1,33,33.8766,-80.8506,Hopkins,SC
29073,2.7,1,55,33.8923,-81.2371,Lexington,SC
29169,3.4,1,38,33.9971,-81.0979,West Columbia,SC
29209,2.2,1,30,33.9459,-80.944,Columbia,SC
29229,3.8,1,15,34.1419,-80.8922,Columbia,SC
29681,2.0,2,153,34.7692,-82.2241,Simpsonville,SC
