ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
97,2.0,1,761,25.6498,-81.0584,Everglades-Monroe County,FL
1826,3.1,1,1485,42.683,-71.3006,Dracut,MA
4010,2.7,1,1610,43.9418,-70.9085,Brownfield,ME
5446,2.4,2,1553,44.5484,-73.1859,Colchester,VT
17202,3.8,1,920,39.9221,-77.6873,Chambersburg,PA
17901,2.2,1,1054,40.6851,-76.2575,Pottsville,PA
21758,3.1,1,865,39.349,-77.6577,Knoxville,MD
21872,2.5,1,908,38.4223,-75.2965,Whaleyville,MD
22307,2.7,1,838,38.7702,-77.0604,Alexandria,VA
22980,2.2,1,692,38.0952,-78.8888,Waynesboro,VA
23435,2.7,1,711,36.8374,-76.4808,Suffolk,VA
24073,2.9,1,541,37.127,-80.4243,Christiansburg,VA
24301,3.8,1,526,37.07,-80.805,Pulaski,VA
27316,2.2,1,427,35.6876,-79.6217,Ramseur,NC
27534,2.7,1,508,35.368,-77.9036,Goldsboro,NC
28056,2.0,1,320,35.217,-81.1245,Gastonia,NC
28601,2.2,1,376,35.7745,-81.326,Hickory,NC
28786,4.2,1,343,35.4627,-82.9915,Waynesville,NC
29006,2.8,3,170,33.9058,-81.5513,Batesburg,SC
29016,3.7,2,221,34.2008,-80.9951,Blythewood,SC
29045,2.0,2,228,34.1874,-80.8158,Elgin,SC
29053,2.0,1,179,33.8214,-81.1105,Gaston,SC
29054,3.3,2,178,33.9285,-81.3778,Gilbert,SC
29061,2.2,1,198,33.8766,-80.8506,Hopkins,SC
29063,2.1,2,206,34.1406,-81.2033,Irmo,SC
29070,2.7,7,171,33.8862,-81.44,Leesville,SC
29072,2.0,5,189,33.9905,-81.266,Lexington,SC
29073,2.4,15,180,33.8923,-81.2371,Lexington,SC
29078,2.0,1,234,34.1906,-80.7041,Lugoff,SC
29105,2.3,2,157,33.7884,-81.5832,Monetta,SC
29107,2.2,1,152,33.5263,-81.1173,Neeses,SC
29108,1.0,1,210,34.2965,-81.6254,Newberry,SC
29123,3.1,1,167,33.7656,-81.2602,Pelion,SC
29129,3.2,2,158,33.8249,-81.6626,Ridge Spring,SC
29164,3.0,3,149,33.6578,-81.4236,Wagener,SC
29169,2.2,2,196,33.9971,-81.0979,West Columbia,SC
29170,2.0,4,189,33.9387,-81.1455,West Columbia,SC
29201,3.1,4,199,33.9856,-81.0289,Columbia,SC
29204,3.1,1,204,34.0292,-80.9996,Columbia,SC
29205,3.1,4,201,33.9899,-80.997,Columbia,SC
29223,3.4,1,214,34.056,-80.844,Columbia,SC
29229,2.7,3,220,34.1419,-80.8922,Columbia,SC
29332,2.2,1,202,34.2759,-81.9791,Cross Hill,SC
29341,2.7,1,298,35.1182,-81.711,Gaffney,SC
29360,2.2,1,226,34.4946,-82.043,Laurens,SC
29412,2.7,1,207,32.7085,-79.951,Charleston,SC
29414,2.0,1,193,32.8251,-80.1235,Charleston,SC
29429,2.0,1,237,32.9514,-79.6752,Awendaw,SC
29464,1.0,1,218,32.8208,-79.8567,Mount Pleasant,SC
29466,2.2,1,225,32.876,-79.7935,Mount Pleasant,SC
29472,1.0,1,183,33.0521,-80.3157,Ridgeville,SC
29488,2.2,1,145,32.8986,-80.6858,Walterboro,SC
29579,1.0,1,332,33.7507,-78.9287,Myrtle Beach,SC
29590,2.2,1,247,33.5611,-79.8386,Salters,SC
29601,3.4,1,266,34.8476,-82.4025,Greenville,SC
29624,3.0,1,224,34.4374,-82.6261,Anderson,SC
29625,2.0,1,240,34.5606,-82.7587,Anderson,SC
29639,3.4,1,206,34.3021,-82.4283,Due West,SC
29640,2.2,1,273,34.8879,-82.5765,Easley,SC
29645,2.0,1,237,34.5898,-82.1323,Gray Court,SC
29646,2.5,1,187,34.1454,-82.1408,Greenwood,SC
29649,4.1,1,198,34.243,-82.1434,Greenwood,SC
29650,2.0,1,271,34.8976,-82.2583,Greer,SC
29657,2.0,1,261,34.765,-82.6873,Liberty,SC
29671,4.8,1,280,34.9379,-82.7194,Pickens,SC
29676,2.0,2,285,34.9334,-82.9605,Salem,SC
29681,2.2,1,257,34.7692,-82.2241,Simpsonville,SC
29692,2.2,1,217,34.412,-82.2197,Ware Shoals,SC
29708,2.7,1,307,35.047,-80.9861,Fort Mill,SC
29710,2.0,1,306,35.1024,-81.218,Clover,SC
29732,2.0,1,296,34.97,-81.0801,Rock Hill,SC
29801,2.8,48,132,33.5847,-81.6895,Aiken,SC
29803,2.6,82,118,33.4567,-81.7028,Aiken,SC
29805,2.8,13,141,33.6555,-81.6216,Aiken,SC
29808,2.2,1,101,33.2536,-81.6186,Aiken,SC
29809,3.0,4,115,33.4171,-81.6888,New Ellenton,SC
29817,3.1,1,129,33.3669,-81.2867,Blackville,SC
29821,3.2,5,130,33.6273,-82.1061,Clarks Hill,SC
29824,2.6,6,151,33.8144,-82.016,Edgefield,SC
29828,2.0,1,122,33.5228,-81.8295,Gloverville,SC
29829,3.1,48,127,33.581,-81.8557,Graniteville,SC
29831,3.2,12,99,33.31,-81.8249,Jackson,SC
29832,3.3,4,152,33.8011,-81.8017,Johnston,SC
29835,3.1,3,162,33.9149,-82.2577,MC Cormick,SC
29838,3.6,2,141,33.7243,-82.1868,Modoc,SC
29841,2.9,86,120,33.5261,-81.939,North Augusta,SC
29842,2.2,11,112,33.4433,-81.8677,Beech Island,SC
29847,2.2,5,140,33.6979,-81.8599,Trenton,SC
29848,2.0,1,169,33.9766,-82.1925,Troy,SC
29851,2.7,18,120,33.5091,-81.8177,Warrenville,SC
29853,2.6,2,125,33.4081,-81.421,Williston,SC
29856,2.1,3,127,33.4774,-81.519,Windsor,SC
29860,2.8,38,129,33.6111,-81.9759,North Augusta,SC
29902,2.0,1,135,32.3741,-80.698,Beaufort,SC
29910,2.9,8,120,32.2234,-80.8909,Bluffton,SC
29918,3.8,1,87,32.7082,-81.257,Estill,SC
29920,2.2,1,149,32.374,-80.5541,Saint Helena Island,SC
29926,2.0,1,133,32.2292,-80.7491,Hilton Head Island,SC
29927,2.0,1,105,32.2545,-81.0468,Hardeeville,SC
29928,2.8,10,134,32.1622,-80.7547,Hilton Head Island,SC
29936,2.2,1,113,32.5082,-80.9382,Ridgeland,SC
29940,2.7,1,133,32.5581,-80.7244,Seabrook,SC
30004,2.2,1,274,34.1341,-84.2991,Alpharetta,GA
30011,3.4,1,235,34.0219,-83.8361,Auburn,GA
30012,2.9,2,223,33.7162,-83.9995,Conyers,GA
30013,2.0,2,216,33.6421,-83.9716,Conyers,GA
30014,4.3,2,200,33.5811,-83.8196,Covington,GA
30016,2.0,1,204,33.5167,-83.9295,Covington,GA
30017,2.7,1,233,33.8891,-83.964,Grayson,GA
30019,2.0,3,234,33.9751,-83.8811,Dacula,GA
30024,2.0,3,254,34.063,-84.09,Suwanee,GA
30030,2.6,2,248,33.7725,-84.2911,Decatur,GA
30039,3.1,1,231,33.798,-84.0345,Snellville,GA
30040,2.2,1,272,34.2162,-84.1803,Cumming,GA
30044,2.2,1,242,33.9217,-84.0693,Lawrenceville,GA
30045,2.8,3,236,33.9381,-83.9577,Lawrenceville,GA
30047,2.5,3,242,33.8705,-84.113,Lilburn,GA
