ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
5446,2.0,1,1323,44.5484,-73.1859,Colchester,VT
6437,3.4,1,1064,41.3352,-72.6999,Guilford,CT
11109,2.2,1,944,40.7444,-73.9575,Long Island City,NY
15205,3.8,1,698,40.4383,-80.1011,Pittsburgh,PA
21102,3.4,1,703,39.6871,-76.8454,Manchester,MD
21555,1.0,1,631,39.5885,-78.5627,Oldtown,MD
22643,2.2,1,579,38.9034,-78.0066,Markham,VA
23454,4.1,1,516,36.794,-76.0264,Virginia Beach,VA
25015,3.4,1,454,38.2201,-81.4724,Belle,WV
25427,2.2,2,638,39.5195,-78.0912,Hedgesville,WV
27012,2.0,1,206,36.0047,-80.3769,Clemmons,NC
27046,2.2,1,264,36.494,-80.088,Sandy Ridge,NC
27370,3.4,1,194,35.8107,-79.9922,Trinity,NC
27587,1.0,1,282,35.9822,-78.5524,Wake Forest,NC
27705,1.0,1,260,36.0264,-78.9813,Durham,NC
27889,3.1,1,373,35.5989,-77.0307,Washington,NC
28025,3.1,2,135,35.3788,-80.5253,Concord,NC
28027,2.2,1,137,35.4097,-80.6754,Concord,NC
28037,2.0,1,151,35.507,-81.0202,Denver,NC
28056,2.2,1,122,35.217,-81.1245,Gastonia,NC
28075,2.2,1,126,35.3024,-80.6412,Harrisburg,NC
28079,2.0,1,105,35.1097,-80.6042,Indian Trail,NC
28083,3.4,1,147,35.4914,-80.5819,Kannapolis,NC
28092,1.0,1,153,35.4827,-81.254,Lincolnton,NC
28104,2.4,2,99,35.0634,-80.6926,Matthews,NC
28105,2.0,1,105,35.1158,-80.7153,Matthews,NC
28110,2.7,2,101,35.0674,-80.5258,Monroe,NC
28112,2.2,1,82,34.8932,-80.5389,Monroe,NC
28160,3.8,1,171,35.3614,-81.9231,Spindale,NC
28173,2.2,4,83,34.9169,-80.7297,Waxhaw,NC
28174,2.7,1,92,34.967,-80.4367,Wingate,NC
28202,2.2,1,118,35.2278,-80.8444,Charlotte,NC
28215,2.2,1,119,35.2471,-80.6959,Charlotte,NC
28226,2.0,1,104,35.1062,-80.8203,Charlotte,NC
28269,2.2,1,130,35.3383,-80.8017,Charlotte,NC
28270,2.2,1,104,35.1105,-80.7605,Charlotte,NC
28273,3.1,1,108,35.1266,-80.945,Charlotte,NC
28655,1.0,1,198,35.7549,-81.7409,Morganton,NC
28752,1.0,1,209,35.7148,-82.0345,Marion,NC
28773,3.8,1,189,35.2507,-82.3246,Saluda,NC
28806,2.7,1,232,35.572,-82.6129,Asheville,NC
29006,2.8,4,81,33.9058,-81.5513,Batesburg,SC
29009,2.3,3,44,34.4368,-80.3788,Bethune,SC
29010,3.0,5,42,34.2145,-80.2698,Bishopville,SC
29015,2.9,2,63,34.4403,-81.3384,Blair,SC
29016,3.5,79,24,34.2008,-80.9951,Blythewood,SC
29018,2.7,1,91,33.3437,-80.6422,Bowman,SC
29020,3.8,125,20,34.307,-80.5942,Camden,SC
29032,3.4,14,31,34.3527,-80.4771,Cassatt,SC
29033,3.3,28,38,33.9571,-81.059,Cayce,SC
