ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
7105,2.0,1,932,40.7248,-74.1414,Newark,NJ
8003,2.7,1,814,39.8833,-74.9723,Cherry Hill,NJ
8102,2.0,1,812,39.9506,-75.1198,Camden,NJ
24055,2.2,1,294,36.7577,-80.0009,Bassett,VA
28711,2.0,1,214,35.6049,-82.3023,Black Mountain,NC
29016,2.6,34,24,34.2008,-80.9951,Blythewood,SC
29020,3.1,58,19,34.307,-80.5942,Camden,SC
29032,3.6,2,30,34.3527,-80.4771,Cassatt,SC
29033,2.6,11,38,33.9571,-81.059,Cayce,SC
29040,2.2,2,30,34.0348,-80.4496,Dalzell,SC
29044,2.4,6,28,33.9218,-80.6883,Eastover,SC
29045,3.3,194,8,34.1874,-80.8158,Elgin,SC
29061,2.8,8,34,33.8766,-80.8506,Hopkins,SC
29063,2.0,11,43,34.1406,-81.2033,Irmo,SC
29067,2.7,1,45,34.5494,-80.5329,Kershaw,SC
29072,2.0,6,53,33.9905,-81.266,Lexington,SC
29073,2.6,12,56,33.8923,-81.2371,Lexington,SC
29078,3.5,113,3,34.1906,-80.7041,Lugoff,SC
29128,2.2,1,20,34.0853,-80.5381,Rembert,SC
29130,2.1,12,22,34.3266,-80.8905,Ridgeway,SC
29154,3.4,1,42,33.8761,-80.4342,Sumter,SC
29169,2.9,11,39,33.9971,-81.0979,West Columbia,SC
29170,2.8,7,46,33.9387,-81.1455,West Columbia,SC
29172,2.5,2,43,33.9077,-81.0718,West Columbia,SC
29180,2.2,1,40,34.377,-81.1011,Winnsboro,SC
29201,2.4,5,34,33.9856,-81.0289,Columbia,SC
29203,2.6,8,30,34.1047,-81.0455,Columbia,SC
29204,2.3,23,29,34.0292,-80.9996,Columbia,SC
29205,2.5,31,31,33.9899,-80.997,Columbia,SC
29206,2.5,33,26,34.0238,-80.9541,Columbia,SC
29209,2.4,16,32,33.9459,-80.944,Columbia,SC
29210,2.2,9,37,34.043,-81.1098,Columbia,SC
29212,2.3,6,41,34.0806,-81.1687,Columbia,SC
29223,2.6,45,16,34.056,-80.844,Columbia,SC
29229,2.9,101,15,34.1419,-80.8922,Columbia,SC
29466,2.2,1,168,32.876,-79.7935,Mount Pleasant,SC
29572,2.0,1,184,33.7674,-78.7945,Myrtle Beach,SC
29720,3.1,3,63,34.745,-80.737,Lancaster,SC
29936,2.9,1,185,32.5082,-80.9382,Ridgeland,SC
30152,3.1,1,361,33.9942,-84.6474,Kennesaw,GA
30318,2.0,1,346,33.7921,-84.4477,Atlanta,GA
32118,2.7,1,550,29.2142,-81.0046,Daytona Beach,FL
38305,1.0,1,754,35.6506,-88.7883,Jackson,TN
48342,2.2,1,966,42.6442,-83.2742,Pontiac,MI
62204,2.7,1,974,38.6306,-90.0966,East Saint Louis,IL
