ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
28202,3.8,1,118,35.2278,-80.8444,Charlotte,NC
29020,2.0,2,19,34.307,-80.5942,Camden,SC
29044,1.0,1,27,33.9218,-80.6883,Eastover,SC
29045,2.0,9,10,34.1874,-80.8158,Elgin,SC
29078,2.5,9,3,34.1906,-80.7041,Lugoff,SC
29160,2.2,1,59,33.7322,-81.0878,Swansea,SC
29203,2.2,1,31,34.1047,-81.0455,Columbia,SC
29210,3.1,1,39,34.043,-81.1098,Columbia,SC
29229,2.0,2,16,34.1419,-80.8922,Columbia,SC
30809,2.2,1,150,33.5568,-82.162,Evans,GA
