ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
6443,2.0,1,1069,41.3384,-72.6265,Madison,CT
23454,2.0,1,516,36.794,-76.0264,Virginia Beach,VA
28697,2.2,1,221,36.1323,-81.1694,Wilkesboro,NC
28801,3.8,1,230,35.5937,-82.5576,Asheville,NC
29016,3.1,6,25,34.2008,-80.9951,Blythewood,SC
29020,2.5,28,19,34.307,-80.5942,Camden,SC
29045,3.2,82,9,34.1874,-80.8158,Elgin,SC
29061,2.1,4,34,33.8766,-80.8506,Hopkins,SC
29063,2.0,1,44,34.1406,-81.2033,Irmo,SC
29072,1.0,1,53,33.9905,-81.266,Lexington,SC
29073,2.0,1,56,33.8923,-81.2371,Lexington,SC
29078,3.0,51,3,34.1906,-80.7041,Lugoff,SC
29169,2.2,1,39,33.9971,-81.0979,West Columbia,SC
29170,2.2,1,46,33.9387,-81.1455,West Columbia,SC
29201,3.1,1,34,33.9856,-81.0289,Columbia,SC
29203,2.9,2,30,34.1047,-81.0455,Columbia,SC
29204,2.7,1,29,34.0292,-80.9996,Columbia,SC
29205,2.2,6,32,33.9899,-80.997,Columbia,SC
29206,2.4,10,26,34.0238,-80.9541,Columbia,SC
29209,2.0,5,31,33.9459,-80.944,Columbia,SC
29212,2.0,1,42,34.0806,-81.1687,Columbia,SC
29223,2.3,5,16,34.056,-80.844,Columbia,SC
29229,2.5,21,15,34.1419,-80.8922,Columbia,SC
30809,2.0,1,149,33.5568,-82.162,Evans,GA
