ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29016,4.0,3,25,34.2008,-80.9951,Blythewood,SC
29020,2.0,1,22,34.307,-80.5942,Camden,SC
29032,4.1,1,32,34.3527,-80.4771,Cassatt,SC
29033,3.8,1,37,33.9571,-81.059,Cayce,SC
29045,2.9,6,10,34.1874,-80.8158,Elgin,SC
29063,3.1,2,44,34.1406,-81.2033,Irmo,SC
29073,2.4,2,54,33.8923,-81.2371,Lexington,SC
29078,2.9,7,6,34.1906,-80.7041,Lugoff,SC
29169,3.1,4,38,33.9971,-81.0979,West Columbia,SC
29203,2.9,2,30,34.1047,-81.0455,Columbia,SC
29204,2.0,1,28,34.0292,-80.9996,Columbia,SC
29223,2.2,1,15,34.056,-80.844,Columbia,SC
29229,2.6,4,15,34.1419,-80.8922,Columbia,SC
29445,2.2,1,144,32.9968,-79.9879,Goose Creek,SC
29550,3.8,1,66,34.3983,-80.077,Hartsville,SC
60564,2.0,1,1066,41.7079,-88.1993,Naperville,IL
