ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29010,2.7,1,42,34.2145,-80.2698,Bishopville,SC
29016,3.8,1,25,34.2008,-80.9951,Blythewood,SC
29020,2.0,3,20,34.307,-80.5942,Camden,SC
29032,3.8,1,31,34.3527,-80.4771,Cassatt,SC
29040,3.8,1,29,34.0348,-80.4496,Dalzell,SC
29045,3.2,9,8,34.1874,-80.8158,Elgin,SC
29058,3.1,1,42,34.5469,-80.7476,Heath Springs,SC
29061,3.4,1,34,33.8766,-80.8506,Hopkins,SC
29067,3.1,1,46,34.5494,-80.5329,Kershaw,SC
29073,3.8,1,55,33.8923,-81.2371,Lexington,SC
29078,3.2,5,4,34.1906,-80.7041,Lugoff,SC
29130,3.8,1,23,34.3266,-80.8905,Ridgeway,SC
29154,2.2,1,42,33.8761,-80.4342,Sumter,SC
29169,3.4,1,38,33.9971,-81.0979,West Columbia,SC
29170,2.0,2,46,33.9387,-81.1455,West Columbia,SC
29203,3.1,1,30,34.1047,-81.0455,Columbia,SC
29205,2.7,2,31,33.9899,-80.997,Columbia,SC
29206,2.2,1,26,34.0238,-80.9541,Columbia,SC
29209,1.0,1,31,33.9459,-80.944,Columbia,SC
29210,3.8,2,37,34.043,-81.1098,Columbia,SC
29212,2.0,1,41,34.0806,-81.1687,Columbia,SC
29223,2.4,2,16,34.056,-80.844,Columbia,SC
29229,2.2,3,15,34.1419,-80.8922,Columbia,SC
29550,2.7,1,65,34.3983,-80.077,Hartsville,SC
29718,3.4,1,63,34.638,-80.3469,Jefferson,SC
29805,2.0,1,100,33.6555,-81.6216,Aiken,SC
