ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
6824,2.0,1,1017,41.176,-73.2807,Fairfield,CT
29016,4.1,1,26,34.2008,-80.9951,Blythewood,SC
29020,4.5,2,19,34.307,-80.5942,Camden,SC
29033,3.3,2,39,33.9571,-81.059,Cayce,SC
29045,2.2,8,10,34.1874,-80.8158,Elgin,SC
29053,2.7,1,52,33.8214,-81.1105,Gaston,SC
29078,3.0,6,5,34.1906,-80.7041,Lugoff,SC
29205,3.4,1,32,33.9899,-80.997,Columbia,SC
29209,2.7,1,32,33.9459,-80.944,Columbia,SC
29210,2.2,1,39,34.043,-81.1098,Columbia,SC
29223,2.4,2,17,34.056,-80.844,Columbia,SC
29639,2.2,1,158,34.3021,-82.4283,Due West,SC
29708,2.0,1,101,35.047,-80.9861,Fort Mill,SC
