ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
27284,3.4,1,226,36.1193,-80.0762,Kernersville,NC
29016,2.0,2,26,34.2008,-80.9951,Blythewood,SC
29020,3.1,2,21,34.307,-80.5942,Camden,SC
29045,2.1,35,10,34.1874,-80.8158,Elgin,SC
29053,2.0,3,51,33.8214,-81.1105,Gaston,SC
29072,2.0,1,53,33.9905,-81.266,Lexington,SC
29073,2.0,2,55,33.8923,-81.2371,Lexington,SC
29078,2.2,37,6,34.1906,-80.7041,Lugoff,SC
29170,2.2,1,46,33.9387,-81.1455,West Columbia,SC
29172,2.2,1,42,33.9077,-81.0718,West Columbia,SC
29209,2.0,2,31,33.9459,-80.944,Columbia,SC
29229,2.0,2,16,34.1419,-80.8922,Columbia,SC
29356,3.1,1,179,35.1437,-82.2634,Landrum,SC
29388,3.8,1,139,34.7622,-82.0421,Woodruff,SC
29672,2.0,1,214,34.7491,-82.9444,Seneca,SC
29676,2.0,1,223,34.9334,-82.9605,Salem,SC
29710,2.2,1,114,35.1024,-81.218,Clover,SC
29803,2.2,1,119,33.4567,-81.7028,Aiken,SC
42347,2.2,1,671,37.5175,-86.9,Hartford,KY
48610,1.0,1,1148,44.1422,-84.1749,Alger,MI
