ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29635,2.0,1,202,35.0761,-82.6339,Cleveland,SC
30045,3.8,1,114,33.9381,-83.9577,Lawrenceville,GA
30078,2.7,1,114,33.8607,-84.0168,Snellville,GA
30802,2.0,1,73,33.5964,-82.3168,Appling,GA
30824,2.0,1,53,33.5126,-82.5124,Thomson,GA
31024,2.0,1,36,33.3187,-83.3739,Eatonton,GA
31061,2.2,1,32,33.0792,-83.2374,Milledgeville,GA
31087,2.7,3,10,33.2762,-83.0002,Sparta,GA
31088,2.2,1,98,32.5839,-83.6513,Warner Robins,GA
43215,2.0,1,742,39.9669,-83.0128,Columbus,OH
