ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
29020,3.8,1,186,34.307,-80.5942,Camden,SC
29078,3.8,1,177,34.1906,-80.7041,Lugoff,SC
29405,2.7,1,300,32.851,-79.9776,North Charleston,SC
29621,2.2,1,0,34.4374,-82.6086,Anderson,SC
29624,2.9,2,1,34.4374,-82.6261,Anderson,SC
29625,2.2,1,19,34.5606,-82.7587,Anderson,SC
29627,3.1,1,15,34.5189,-82.4777,Belton,SC
29657,3.1,1,37,34.765,-82.6873,Liberty,SC
29662,2.0,1,47,34.7783,-82.3053,Mauldin,SC
29670,1.0,1,25,34.6417,-82.7194,Pendleton,SC
29720,2.0,1,175,34.745,-80.737,Lancaster,SC
30634,2.2,1,38,34.2213,-82.9462,Dewy Rose,GA
