ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
4401,2.0,1,1566,44.8517,-68.8316,Bangor,ME
5446,2.0,2,1323,44.5484,-73.1859,Colchester,VT
6801,3.4,1,1028,41.3747,-73.3931,Bethel,CT
6804,3.1,1,1035,41.467,-73.3933,Brookfield,CT
6903,3.4,1,998,41.1358,-73.5734,Stamford,CT
7506,2.6,1,951,40.9578,-74.1582,Hawthorne,NJ
8102,3.4,1,812,39.9506,-75.1198,Camden,NJ
12546,3.1,1,1070,41.9587,-73.5355,Millerton,NY
12844,2.0,1,1204,43.4884,-73.6218,Kattskill Bay,NY
18704,2.2,1,896,41.2774,-75.8973,Kingston,PA
19087,3.3,1,807,40.061,-75.398,Wayne,PA
20191,2.2,1,609,38.9341,-77.3511,Reston,VA
21774,2.0,1,658,39.4105,-77.2702,New Market,MD
23336,2.2,1,640,37.9243,-75.3264,Chincoteague Island,VA
27013,4.3,1,176,35.756,-80.7019,Cleveland,NC
27502,1.0,1,239,35.7201,-78.9092,Apex,NC
28001,2.2,1,138,35.3372,-80.2043,Albemarle,NC
28012,2.0,2,119,35.2102,-81.0411,Belmont,NC
28025,2.6,2,135,35.3788,-80.5253,Concord,NC
28078,1.0,1,137,35.4036,-80.865,Huntersville,NC
28105,2.7,1,105,35.1158,-80.7153,Matthews,NC
28112,2.7,1,82,34.8932,-80.5389,Monroe,NC
28115,2.0,1,156,35.5808,-80.7736,Mooresville,NC
28134,2.2,2,102,35.0835,-80.892,Pineville,NC
28139,2.2,1,175,35.3502,-82.0007,Rutherfordton,NC
28173,2.2,1,83,34.9169,-80.7297,Waxhaw,NC
28174,3.1,1,92,34.967,-80.4367,Wingate,NC
28202,2.2,1,118,35.2278,-80.8444,Charlotte,NC
28227,1.0,1,113,35.1877,-80.6504,Charlotte,NC
28269,2.1,2,130,35.3383,-80.8017,Charlotte,NC
28270,2.6,3,104,35.1105,-80.7605,Charlotte,NC
28277,2.0,2,98,35.0523,-80.8177,Charlotte,NC
28327,2.2,1,177,35.3556,-79.4207,Carthage,NC
28469,2.0,1,210,33.9323,-78.4676,Ocean Isle Beach,NC
28546,2.0,1,315,34.8032,-77.3763,Jacksonville,NC
29009,3.3,6,43,34.4368,-80.3788,Bethune,SC
29010,3.6,3,42,34.2145,-80.2698,Bishopville,SC
29016,3.4,72,25,34.2008,-80.9951,Blythewood,SC
29020,3.8,133,19,34.307,-80.5942,Camden,SC
29032,3.3,14,30,34.3527,-80.4771,Cassatt,SC
29033,2.8,10,38,33.9571,-81.059,Cayce,SC
29036,2.4,3,56,34.1465,-81.3335,Chapin,SC
29040,2.6,10,29,34.0348,-80.4496,Dalzell,SC
29044,3.7,15,27,33.9218,-80.6883,Eastover,SC
29045,4.1,211,9,34.1874,-80.8158,Elgin,SC
29053,3.1,12,52,33.8214,-81.1105,Gaston,SC
29054,2.5,8,65,33.9285,-81.3778,Gilbert,SC
29055,2.7,2,46,34.5466,-80.9286,Great Falls,SC
29058,2.9,4,42,34.5469,-80.7476,Heath Springs,SC
29061,3.2,13,34,33.8766,-80.8506,Hopkins,SC
29063,2.5,23,44,34.1406,-81.2033,Irmo,SC
29067,3.4,14,46,34.5494,-80.5329,Kershaw,SC
29070,3.0,5,73,33.8862,-81.44,Leesville,SC
29072,3.0,96,53,33.9905,-81.266,Lexington,SC
29073,3.1,68,56,33.8923,-81.2371,Lexington,SC
29075,2.0,2,60,34.2011,-81.3763,Little Mountain,SC
29078,4.3,116,4,34.1906,-80.7041,Lugoff,SC
29101,2.0,1,56,34.49,-80.247,MC Bee,SC
29123,5.4,1,66,33.7656,-81.2602,Pelion,SC
29126,2.5,1,66,34.3205,-81.422,Pomaria,SC
29128,4.1,5,19,34.0853,-80.5381,Rembert,SC
29129,2.7,1,94,33.8249,-81.6626,Ridge Spring,SC
29130,3.5,25,23,34.3266,-80.8905,Ridgeway,SC
29135,3.1,4,51,33.7089,-80.8372,Saint Matthews,SC
29150,2.9,2,47,33.8727,-80.3538,Sumter,SC
29152,3.4,2,32,33.9753,-80.4672,Shaw A F B,SC
29153,3.2,2,44,33.9672,-80.3114,Sumter,SC
29154,3.6,2,42,33.8761,-80.4342,Sumter,SC
29160,3.3,3,58,33.7322,-81.0878,Swansea,SC
29164,3.0,1,85,33.6578,-81.4236,Wagener,SC
29168,2.0,2,37,33.8599,-80.5523,Wedgefield,SC
29169,3.1,37,39,33.9971,-81.0979,West Columbia,SC
29170,3.1,28,46,33.9387,-81.1455,West Columbia,SC
29172,3.1,9,43,33.9077,-81.0718,West Columbia,SC
29175,2.0,1,31,34.4335,-80.6015,Westville,SC
29180,2.4,5,41,34.377,-81.1011,Winnsboro,SC
29201,3.2,18,34,33.9856,-81.0289,Columbia,SC
29203,3.3,29,30,34.1047,-81.0455,Columbia,SC
29204,3.2,27,29,34.0292,-80.9996,Columbia,SC
29205,2.9,52,32,33.9899,-80.997,Columbia,SC
29206,3.2,35,26,34.0238,-80.9541,Columbia,SC
29207,3.1,2,26,34.0108,-80.9395,Columbia,SC
29209,3.1,36,31,33.9459,-80.944,Columbia,SC
29210,3.0,26,38,34.043,-81.1098,Columbia,SC
29212,3.1,18,42,34.0806,-81.1687,Columbia,SC
29223,3.5,95,16,34.056,-80.844,Columbia,SC
29229,3.7,137,16,34.1419,-80.8922,Columbia,SC
29302,1.0,1,130,34.8936,-81.8424,Spartanburg,SC
29307,2.7,1,136,34.9833,-81.8329,Spartanburg,SC
29323,2.0,1,152,35.1278,-81.9084,Chesnee,SC
29325,3.3,2,107,34.4874,-81.8272,Clinton,SC
29334,2.0,2,152,34.9048,-82.1239,Duncan,SC
29360,2.0,1,126,34.4946,-82.043,Laurens,SC
29365,2.9,1,160,34.98,-82.1675,Lyman,SC
29376,1.0,1,133,34.8179,-81.9518,Roebuck,SC
29388,4.1,1,137,34.7622,-82.0421,Woodruff,SC
29406,2.7,1,151,32.9312,-80.0318,Charleston,SC
29445,2.2,1,146,32.9968,-79.9879,Goose Creek,SC
29483,1.0,1,131,33.0696,-80.1945,Summerville,SC
29550,3.1,6,65,34.3983,-80.077,Hartsville,SC
29579,2.2,1,172,33.7507,-78.9287,Myrtle Beach,SC
29588,2.5,1,165,33.6777,-79.0304,Myrtle Beach,SC
29593,4.1,1,86,34.4784,-79.8605,Society Hill,SC
29601,3.1,1,171,34.8476,-82.4025,Greenville,SC
29607,2.0,3,164,34.8116,-82.3323,Greenville,SC
29625,1.0,1,192,34.5606,-82.7587,Anderson,SC
29627,2.0,1,166,34.5189,-82.4777,Belton,SC
29632,4.1,1,202,34.6744,-82.8357,Clemson,SC
29642,2.0,1,182,34.7769,-82.5649,Easley,SC
29645,3.1,1,137,34.5898,-82.1323,Gray Court,SC
29646,3.1,1,130,34.1454,-82.1408,Greenwood,SC
29651,2.7,2,156,34.8332,-82.2312,Greer,SC
29671,2.0,1,202,34.9379,-82.7194,Pickens,SC
29681,2.5,3,153,34.7692,-82.2241,Simpsonville,SC
29692,3.1,1,140,34.412,-82.2197,Ware Shoals,SC
29707,2.1,2,91,34.9808,-80.8571,Fort Mill,SC
29708,2.0,3,100,35.047,-80.9861,Fort Mill,SC
29710,3.8,1,113,35.1024,-81.218,Clover,SC
29714,2.0,1,62,34.7089,-80.9167,Fort Lawn,SC
29715,2.0,2,95,35.0103,-80.9279,Fort Mill,SC
