ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
19808,2.2,1,766,39.7379,-75.6654,Wilmington,DE
27288,3.8,1,274,36.4983,-79.7459,Eden,NC
28214,2.2,1,126,35.2736,-80.9681,Charlotte,NC
29016,2.7,1,25,34.2008,-80.9951,Blythewood,SC
29020,3.1,12,20,34.307,-80.5942,Camden,SC
29032,2.2,1,31,34.3527,-80.4771,Cassatt,SC
29033,3.1,1,37,33.9571,-81.059,Cayce,SC
29045,3.3,30,8,34.1874,-80.8158,Elgin,SC
29072,2.2,1,52,33.9905,-81.266,Lexington,SC
29078,3.4,20,4,34.1906,-80.7041,Lugoff,SC
29130,2.0,1,24,34.3266,-80.8905,Ridgeway,SC
29203,4.1,1,29,34.1047,-81.0455,Columbia,SC
29204,3.8,1,28,34.0292,-80.9996,Columbia,SC
29206,3.9,2,25,34.0238,-80.9541,Columbia,SC
29209,3.1,1,30,33.9459,-80.944,Columbia,SC
29223,3.0,5,15,34.056,-80.844,Columbia,SC
29229,3.0,7,15,34.1419,-80.8922,Columbia,SC
29520,2.9,1,93,34.6633,-79.9187,Cheraw,SC
29708,2.0,1,101,35.047,-80.9861,Fort Mill,SC
29715,1.0,1,96,35.0103,-80.9279,Fort Mill,SC
29720,1.0,1,65,34.745,-80.737,Lancaster,SC
60120,2.0,1,1094,42.0285,-88.242,Elgin,IL
